语音通话整体满意度,网络覆盖与信号强度,语音通话清晰度,语音通话稳定性,是否遇到过网络问题,居民小区,办公室,高校,商业街,地铁,农村,高铁,其他，请注明,手机没有信号,有信号无法拨通,通话过程中突然中断,通话中有杂音、听不清、断断续续,串线,通话过程中一方听不见,其他，请注明.1,脱网次数,mos质差次数,未接通掉话次数,是否投诉,4\5G用户,是否关怀用户,套外流量（MB）,是否4G网络客户（本地剔除物联网）,套外流量费（元）,外省语音占比,语音通话-时长（分钟）,省际漫游-时长（分钟）,终端品牌,当月ARPU,当月MOU,前3月ARPU,前3月MOU,外省流量占比,GPRS总流量（KB）,GPRS-国内漫游-流量（KB）,是否5G网络客户,客户星级标识,场所合计,出现问题合计,脱网次数、mos质差次数、未接通掉话次数合计
9,9,9,7,1,1,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,3,2,0,2,0,0,1,0,0,298,0,11,65,298,0,333,0,1616168,0,1,4,4,3,5
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,6,4,0,1,0,0,1,0,0,854,0,11,131,854,0,900,0,10612147,0,0,6,0,0,109
9,9,9,7,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,1,0,0,1,0,0,66,0,11,60,66,0,131,0,308510,0,0,4,1,1,4
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,199,0,11,116,199,0,158,0,608107,0,0,5,0,0,0
8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,65,0,22,64.3,65,0,152,0,6708875,0,1,4,0,0,0
9,9,9,9,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,157.35,1,5,0,304,0,11,133,304,0,1543,0,32736388,0,0,5,1,1,1
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,211,0,11,10,211,0,114,0,2067437,0,1,2,0,0,0
9,9,9,9,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,98,18,2,0,1,0,0,1,0,0,654,0,22,84,654,0,1134,0,13722530,0,0,4,1,1,118
7,6,6,6,1,0,1,0,0,1,0,1,0,1,1,1,0,0,1,0,0,3,0,0,1,0,0,1,0,0,178,0,22,10,178,0,201,0,3311701,0,0,4,3,4,3
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,1,0,0,366,0,22,109.98,366,0,329,0,10378551,0,0,4,0,0,4
9,8,9,9,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,98,2,1,0,2,0,0,1,0,0,1385,0,14,207.33,1385,0,433,0,77895519,0,1,5,1,2,101
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,1,0,0,455,0,18,68,455,0,462,0,26853309,0,0,4,0,0,5
7,7,7,7,1,1,1,0,1,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,76,0,22,125,76,0,48,0,23441842,0,0,5,4,5,1
8,8,8,8,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,4,0,0,1,0,0,1,0,0,438,0,22,56,438,0,290,0,6735980,0,0,4,3,3,4
9,8,8,8,1,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,2,0,0,1,0,0,414,0,22,21,414,0,150,0,2871666,0,1,2,4,2,1
5,5,5,5,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,5,2,0,2,0,0,1,0,0,131,0,22,58,131,0,150,0,59309,0,1,4,2,3,7
8,6,8,4,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,6,0,0,1,0,0,1,0,0,140,0,22,9,140,0,507,0,46618,0,0,4,6,2,6
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,288,0,11,33.9,288,0,113,0,6775244,0,0,4,0,0,1
7,5,5,5,1,1,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,3,0,0,1,0,0,1,0,0,61,0,18,59,61,0,185,0,12594791,0,0,4,2,5,3
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,90,0,11,8,90,0,76,0,39662,0,0,4,0,0,0
7,5,4,6,1,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,24,16,0,1,0,0,1,0,0,947,0,22,155,947,0,865,0,3398673,0,0,5,3,3,40
6,5,7,5,1,1,1,0,0,1,0,0,0,1,0,1,1,0,1,0,97,9,3,0,1,1,0,1,0,0,1302,0,22,108.1,1302,0,1170,0,15974130,0,0,4,3,4,109
5,6,6,4,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,1,0,0,1,0,0,167,0,11,70,167,0,365,0,3315147,0,0,3,1,1,3
9,9,9,9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,34,4,0,0,1,0,0,1,0,0,120,0,22,40,120,0,96,0,2060731,0,0,4,1,2,38
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,4,0,1,0,0,1,0,0,1835,0,14,70,1835,0,2316,0,32754777,0,0,4,0,0,25
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,101,0,22,5.36,101,0,199,0,0,0,0,3,0,0,1
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,229,0,22,52.8,229,0,170,0,218972,0,0,3,0,0,0
8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,12,1,0,1,0,0,1,0,0,1161,0,24,98,1161,0,605,0,16907233,0,0,5,0,0,107
8,6,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,219,0,22,21,219,0,88,0,12167702,0,1,2,0,0,0
8,6,8,7,1,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,163,0,11,48,163,0,165,0,2396319,0,0,4,2,4,0
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,68,2,0,0,1,0,0,1,0,0,104,0,11,25.9,104,0,112,0,1359455,0,0,4,1,1,70
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,141,0,22,25,141,0,254,0,9449878,0,0,4,0,0,0
9,9,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,149,0,11,149,149,0,306,0,7955796,0,0,5,0,0,0
5,4,4,4,1,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,17,23,2,0,1,0,0,1,0,0,776,0,22,173,776,0,909,0,4092838,0,0,5,3,3,42
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,48,0,11,18.88,48,0,111,0,1871,0,0,4,0,0,0
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,191,0,11,11.24,191,0,69,0,62,0,0,3,0,0,0
2,2,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,0,1,0,0,8,6,0,2,0,0,1,0,0,366,0,22,90,366,0,634,0,12601406,0,1,5,3,5,14
9,6,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,199,0,22,20.09,199,0,227,0,11908611,0,0,4,0,0,3
9,9,9,8,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,12,2,0,1,0,0,1,0,0,1752,0,14,30,1752,0,1934,0,878550,0,0,4,1,3,14
5,5,6,4,1,1,1,0,0,1,0,0,0,1,0,1,1,0,1,0,92,12,2,0,1,0,0,1,0,0,64,0,22,90,64,0,147,0,25297119,0,0,4,3,4,106
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,115,0,22,52.24,115,0,106,0,17620576,0,0,4,0,0,1
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,106,0,11,68.1,106,0,130,0,4458734,0,0,4,0,0,0
8,7,7,7,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,10,4,0,1,0,0,1,0,0,376,0,4,10,376,0,292,0,129367,0,0,4,2,3,14
9,9,9,9,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,1,0,0,1,0,0,270,0,11,18,270,0,374,0,116959,0,0,4,1,2,2
9,8,9,8,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,1,0,0,1,0,0,243,0,11,56.8,243,0,343,0,24066447,0,0,4,1,1,3
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,1,0,0,249,0,14,60,249,0,367,0,13636566,0,1,4,0,0,3
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,7,0,0,1,1,0,1,0,0,230,0,11,37,230,0,173,0,24024409,0,0,4,0,0,98
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,26,0,17,59,26,0,71,0,13487200,0,0,3,0,0,3
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,1,0,0,426,0,22,65,426,0,349,0,12605950,0,0,4,0,0,6
8,8,8,8,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,3,2,0,2,0,0,1,0,0,2068,0,17,140,2068,0,1858,0,13519744,0,1,5,3,2,5
7,6,6,7,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,4,0,0,1,0,0,1,0,0,294,0,14,18,294,0,72,0,4368447,0,0,4,2,2,4
4,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20,0,0,1,0,0,1,0,0,1231,0,22,89,1231,7.35,1025,0,14873826,0,0,4,0,0,22
9,7,9,7,1,1,0,0,0,1,1,0,1,1,1,1,0,0,1,0,0,11,0,0,1,0,0,1,0,0,256,0,22,188,256,49,573,0,1169382,0,0,5,4,4,11
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,1,0,0,2,0,0,1,0,0,241,0,14,49,241,0,347,0,12140388,0,1,3,0,0,88
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,301,0,11,50,301,0,163,0,25919936,0,0,4,0,0,2
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,149,0,14,9.1,149,0,188,0,12511,0,0,4,0,0,0
8,8,9,8,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,2,0,0,1,0,0,262,0,11,44,262,0,230,0,13654960,0,1,4,1,3,0
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,1022,0,17,75,1022,0,1110,0,24322620,0,1,4,0,0,1
8,7,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,322,0,14,130,322,0,291,0,3457042,0,1,5,0,0,0
7,7,7,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,1,0,1,0,0,1,18.41,0,279,0,22,30.01,279,0,446,0,2039835,0,0,4,1,1,8
8,4,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3.13,1,0.58,0,371,0,11,31.3,371,0,68,0,16810712,0,0,4,0,0,1
9,8,8,6,1,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,3,0,2,0,0,1,60,0,3773,0,11,122.66,3773,0,2200,0,52507860,0,1,4,2,4,4
9,7,8,8,1,1,1,0,0,1,0,0,0,1,0,0,1,1,1,0,0,4,0,0,1,0,0,1,0,0,125,0,0,40,125,0,466,0,11038435,0,0,4,3,4,4
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,202,0,14,29.25,202,0,341,0,73088,0,0,4,0,0,1
2,2,2,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,7,6,0,2,0,0,1,0,0,224,0,22,103,224,0,285,0,12261944,0,1,4,2,2,13
4,4,4,5,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,20,5,0,2,0,0,1,0,0,871,0,22,115,871,0,837,0,40183191,0,1,5,1,2,25
6,5,6,4,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,2,0,0,1,0,0,1,0,0,4,0,22,56,4,0,753,0,28672,0,0,4,1,2,2
9,8,9,9,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,1,0,0,1,0,0,124,0,11,138,124,0,136,0,11232762,0,0,5,1,1,4
8,7,7,6,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0,0,4,0,0,2,0,0,1,0,0,1971,0,22,217.9,1971,0,1865,0,23105022,0,1,5,5,5,4
6,5,5,6,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4,4,0,2,0,0,1,0,0,219,0,22,118,219,0,360,0,9494620,0,1,5,2,1,8
9,9,9,9,1,1,1,0,0,1,0,0,0,1,1,1,1,0,1,0,0,4,0,0,1,0,0,1,0,0,242,0,11,88,242,0,365,0,92732,0,0,4,3,5,4
8,8,8,7,1,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,2,0,0,1,0,0,1,0,0,97,0,22,19.33,97,0,71,0,40849,0,0,4,3,3,2
7,7,7,7,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,1,0,0,621,0,14,80,621,0,659,0,17912334,0,0,4,2,1,2
7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,21,1,0,1,0,0,1,0,0,348,0,11,216.23,348,0,481,0,23724668,0,0,7,0,0,107
9,9,9,9,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,6,0,0,1,0,0,1,0,0,277,0,11,38,277,0,314,0,1216617,0,0,4,1,2,6
9,9,9,9,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,307,0,22,9.1,307,0,194,0,0,0,0,4,3,3,0
7,6,7,7,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,4,0,0,1,0,0,1,0,0,70,0,22,48,70,0,72,0,32102806,0,0,4,1,4,4
9,8,7,9,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,84,0,0,0,1,0,0,1,0,0,71,0,11,28,71,0,54,0,6684666,0,0,4,2,1,84
5,5,8,7,1,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,2,0,0,1,0,0,187,0,11,15,187,0,177,0,3000430,0,1,2,3,3,0
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,32,0,11,18,32,0,130,0,380602,0,1,4,0,0,0
9,9,9,9,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,2,0,0,2,0,0,1,0,0,108,0,14,126,108,0,316,0,85696539,0,1,5,2,2,2
8,9,9,9,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,314,0,2,12.2,314,0,322,0,911269,0,0,2,1,2,0
9,9,9,9,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,6,6,0,1,1,0,0,1,0,0,45,0,11,25,45,0,103,0,1676950,0,0,4,1,3,12
8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,1,0,0,1,0,0,701,0,17,50,701,0,565,0,331666,0,0,4,0,0,36
9,9,9,9,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,341,0,14,11.63,341,0,263,0,660628,0,0,4,1,2,0
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,73,0,22,56,73,0,158,0,29988221,0,0,4,0,0,1
5,2,4,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,3,0,0,1,0,0,1,0,0,38,0,14,59.1,38,0,89,0,229800,0,0,4,1,4,3
6,7,6,6,1,0,1,0,0,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,2,0,0,1,0,0,145,0,11,43.9,145,0,179,0,12355570,0,1,4,3,4,0
7,6,7,6,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,8,0,1,0,0,1,0,0,307,0,18,46.4,307,0,238,0,28852534,0,0,4,1,1,11
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,136,0,11,21,136,0,219,0,1095832,0,0,4,0,0,1
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,301,0,22,153,301,0,283,0,6902292,0,1,5,0,0,0
0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,6,0,2,0,0,1,0,0,1544,0,11,174.27,1544,0,1383,0,43711784,0,1,4,2,1,13
6,5,7,5,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,83,4,0,0,1,0,0,1,0,0,506,0,22,69,506,0,414,0,2576427,0,0,4,2,3,87
9,8,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,14,9,71,0,109,0,283,0,0,4,0,0,0
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,1,0,0,368,0,6,25,368,0,234,0,5257317,0,0,3,0,0,6
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,47.44,1,11.45,0,456,0,11,52.05,456,0,355,0,12467506,0,0,4,0,0,2
9,9,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,1,0,0,1,0,0,218,0,11,30,218,0,290,0,19119295,0,0,4,0,0,11
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,76,0,11,60,76,0,104,0,31544,0,0,4,0,0,0
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,125,0,22,24,125,0,127,0,12251461,0,0,4,0,0,2
5,5,5,5,1,1,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,4,0,0,1,0,0,1,0,0,325,0,22,145,325,0,416,0,56111352,0,0,5,3,4,4
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,7,0,0,1,0,0,1,0,0,173,0,22,60.3,173,0,66,0,11397864,0,0,4,0,0,90
8,6,8,7,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,0,0,1,0,0,1,0,0,161,0,11,25.3,161,0,90,0,6466955,0,0,4,2,2,4
9,9,9,8,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,222.84,1,60,0,61,0,11,69,61,0,71,0,1999676,0,0,3,2,1,1
7,7,8,8,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,1,1,0,0,1,0,0,372,0,22,89.1,372,0,261,0,3512887,0,0,4,1,1,5
5,4,5,3,1,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,6,1,1,0,2,0,0,1,0.87,0,665,0,22,138.44,665,0,482,0,58664042,0,1,4,3,4,8
4,1,2,3,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,68,18,4,0,1,0,0,1,0,0,326,0,22,195,326,0,348,0,5880620,0,0,5,1,5,90
6,7,7,7,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,1,0,0,872,0,11,168,872,0,423,0,26911360,0,1,5,2,1,1
9,8,8,8,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,0,1,0,0,1,0,0,112,0,22,78,112,0,77,0,4360060,0,0,4,2,1,4
8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0,1,0,0,155,0,11,89.99,155,0,257,0,6207500,0,0,4,0,0,5
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,1,0,0,421,0,14,59.3,421,0,348,0,2261274,0,1,4,0,0,4
7,5,6,5,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,70,0,22,128.4,70,0,88,0,4473041,0,0,5,3,3,1
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,1,0,0,1,0,0,456,0,14,103,456,0,393,0,10104603,0,0,5,0,0,14
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,141,0,11,28,141,0,105,0,981482,0,0,4,0,0,0
7,7,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,1,0,0,143,0,11,18.55,143,0,260,0,7271673,0,1,4,0,0,4
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,1,0,0,419,0,22,68,419,0,227,0,31275796,0,1,4,0,0,4
8,7,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,5,0,0,1,0,0,1,0,0,167,0,22,69.75,167,0,215,0,13852067,0,0,4,0,0,87
8,8,8,9,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,142,0,17,58,142,0,111,0,3319166,0,0,4,1,1,1
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,12,0,0,1,0,0,1,0,0,537,0,11,36.8,537,0,893,0,45306937,0,0,4,0,0,94
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,25,0,11,21,25,0,42,0,6235913,0,0,2,0,0,0
9,9,9,9,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,1,0,0,378,0,22,132.55,378,0,291,0,9431521,0,0,5,2,1,3
4,5,4,4,1,1,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,18,2,0,2,0,0,1,0,0,921,0,22,67,921,0,1076,0,4312731,0,1,4,3,4,20
9,9,8,7,1,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,2,2,0,1,0,0,1,0,0,942,0,11,85.9,942,0,428,0,20314188,0,0,4,3,3,4
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,4,0,0,1,0,0,1,0,0,272,0,11,66,272,0,563,0,12932650,0,0,4,0,0,84
9,9,9,9,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,79,2,2,0,2,0,0,1,0,0,1157,0,11,56,1157,0,897,0,12719949,0,1,4,3,2,83
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,51,0,11,23,51,0,159,0,1902687,0,0,2,0,0,0
9,9,9,9,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,118,0,11,31,118,0,48,0,18626012,0,0,4,1,1,0
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,1,0,0,569,0,11,110,569,0,630,0,9776157,0,1,5,0,0,3
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,0,0,1,0,0,280,0,11,120,280,0,375,0,26685381,0,1,4,0,0,4
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,345,0,11,60,345,0,179,0,21468147,0,0,4,0,0,1
4,4,4,3,1,1,1,0,0,1,1,0,0,1,1,1,1,0,1,0,11,17,3,0,2,0,0,1,0,0,2239,0,18,70,2239,0,1734,0,60868118,0,1,2,4,5,31
9,8,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,11,0,0,1,1,0,1,0,0,24,0,17,29,24,0,43,0,35431411,0,0,3,0,0,90
9,7,9,8,1,1,1,0,0,0,1,0,0,1,1,1,0,1,1,0,78,3,0,0,1,0,0,1,0,0,334,0,22,99.1,334,0,158,0,6194787,0,0,4,3,5,81
4,3,4,4,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,1,2,0,2,0,820.32,1,15,0,331,0,11,114.29,331,0,381,0,33984784,0,1,3,1,1,17
7,8,8,8,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1014,0,14,115,1014,0,735,0,18131646,0,1,5,2,2,0
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,4,2,0,1,0,0,1,0,0,171,0,22,20,171,0,95,0,5537555,0,0,4,0,0,83
7,6,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,1,0,0,497,0,22,85,497,0,549,0,11050748,0,1,4,0,0,3
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,178,0,14,38,178,0,148,0,86344,0,0,4,0,0,3
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,271,0,22,39,271,0,184,0,7699976,0,0,4,0,0,3
9,9,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,176,0,11,128,176,0,365,0,16666613,0,0,5,0,0,0
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,214,0,22,108,214,0,181,0,2570289,0,0,5,0,0,2
9,9,9,8,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,76,2,1,0,1,0,0,1,0,0,163,0,11,115,163,0,126,0,49399144,0,0,5,3,2,79
9,9,9,9,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,4,0,0,1,0,0,1,0,0,127,0,11,21,127,0,156,0,24837230,0,0,3,2,2,4
4,3,3,3,1,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,17,0,0,1,0,0,1,0,0,772,0,22,398,772,0,1088,0,20542174,0,0,7,2,4,17
9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,185,0,22,11.04,185,0,191,0,236100,0,0,4,0,0,0
0,2,4,2,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,17,0,0,1,0,0,1,0,0,728,0,22,195,728,0,940,0,38053991,0,0,5,2,2,17
7,7,7,8,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,2,0,0,1,0,0,124,0,22,38,124,0,254,0,5797433,0,1,4,2,1,3
